drug_conc,Metadata_plate,Metadata_well,Metadata_Row_as_num,Metadata_Col,Metadata_treatment_new,Metadata_treatment_old,Metadata_type,WellId,Plate,Plate_number,Drug_name,Treatment,Metadata_dil_factor,Metadata_concentration_uM,cell_count_POC_A,cell_count_POC_C2,cell_count_POC_C1,cell_count_POC_B,ObjectShapeP2A_NUC_A,ObjectShapeLWR_NUC_A,ObjectTotalInten_NUC_A,ObjectAvgInten_NUC_A,RingTotalInten_RNA,CircSpotTotalInten_RNA,CircSpotTotalArea_RNA,CircSpotAvgArea_RNA,CircSpotCount_RNA,TotalInten_RNA,RingTotalInten_PMG,RingAvgInten_PMG,RingSpotTotalInten_PMG,RingSpotAvgInten_PMG,RingSpotAvgArea_PMG,RingSpotCount_PMG,CircSpotTotalArea_PMG,CircSpotAvgArea_PMG,CircSpotCount_PMG,RingTotalInten_MITO,RingSpotTotalInten_MITO,RingSpotAvgArea_MITO,CircSpotTotalInten_NUC_Tex,CircSpotTotalArea_NUC_Tex,CircSpotAvgArea_NUC_Tex,CircSpotCount_NUC_Tex,ObjectShapeP2A_NUC_B,ObjectShapeLWR_NUC_B,ObjectTotalInten_NUC_B,ObjectSize_NUC_B,RingTotalInten_Perox,RingAvgInten_Perox,RingSpotTotalInten_Perox,RingSpotTotalArea_Perox,RingSpotCount_Perox,TotalInten_Perox,AvgInten_Perox,RingTotalInten_Lipids,RingAvgInten_Lipids,RingSpotAvgInten_Lipids,RingSpotAvgArea_Lipids,RingSpotCount_Lipids,TotalInten_Lipids,AvgInten_Lipids,ObjectArea_NUC_C1,ObjectShapeLWR_NUC_C1,RingTotalInten_ER,RingSpotTotalInten_ER,RingSpotAvgInten_ER,RingSpotCount_ER,CircSpotAvgInten_ER,CircSpotTotalArea_ER,CircSpotAvgArea_ER,CircSpotCount_ER,TotalInten_ER,AvgInten_ER,ObjectShapeP2A_NUC_C2,ObjectShapeLWR_NUC_C2,ObjectSize_NUC_C2,RingTotalInten_TUB,RingSpotAvgInten_TUB,RingSpotTotalArea_TUB,RingSpotAvgArea_TUB,RingSpotCount_TUB,RingTotalInten_ACT,RingSpotTotalInten_ACT,RingSpotTotalArea_ACT,RingSpotCount_ACT,TotalInten_ACT
belinostat_2.5_0.125,2,F20,6,20,belinostat,Belinostat (PXD101),treated,F20,Plate2_drugs,2,belinostat,treated,0.125,2.5,1.070607553,0.956641054,0.990427099,1.136600626,0.396807385,0.373772917,0.152997087,0.09199578,0.260534584,0.216296638,0.274615769,0.284050673,0.373850888,0.168673551,0.243191857,0.395446338,0.382936052,0.310917311,0.395779517,0.281487147,0.32403074,0.534536041,0.26829051,0.104717212,0.257366303,0.310434804,0.121003904,0.164497978,0.302190857,0.268274126,0.306756854,0.174752763,0.233905817,0.374792744,0.327585444,0.455535823,0.0800386,0.22002314,0.087988665,0.212891907,0.290713995,0.270726674,0.512467437,0.528686528,0.284030961,0.528391288,0.334028358,0.31337652,0.21350331,0.393281942,0.349695008,0.378517257,0.320230594,0.2092251,0.363979231,0.151922905,0.175981637,0.030161566,0.325071952,0.397871501,0.454794538,0.398529011,0.171367631,0.356633288,0.258647591,0.250124526,0.347777724,0.414032853,0.291371564,0.265520024,0.319183827,0.144895232,0.154671787
belinostat_20_1,2,F16,6,16,belinostat,Belinostat (PXD101),treated,F16,Plate2_drugs,2,belinostat,treated,1,20,0.350574713,0.51920966,0.396907216,0.580813347,0.494173891,0.520427085,0.579936526,0.641390495,0.652631713,0.656895726,0.437719195,0.69633084,0.577365922,0.536093754,0.482354815,0.648724357,0.363467897,0.66571536,0.548448942,0.467276855,0.583830978,0.974776197,0.61613826,0.721032601,0.654171924,0.605095314,0.548465493,0.648953018,0.706114056,0.610666873,0.493415742,0.440339033,0.427397736,0.390833769,0.265208332,0.190085004,0.366305333,0.430508798,0.485279823,0.433269374,0.366568496,0.385832468,0.370038026,0.414771461,0.463128797,0.523519049,0.509028608,0.562055224,0.632487128,0.486839997,0.310736201,0.53054232,0.475724834,0.579103787,0.646135281,0.742590699,0.944121755,0.57042985,0.570072372,0.716475057,0.568396986,0.459003876,0.736775992,0.614002136,0.826089532,0.609869896,0.806801815,0.661122649,0.663371577,0.646782527,0.669171958,0.626305481,0.59134632
belinostat_5_0.25,2,F19,6,19,belinostat,Belinostat (PXD101),treated,F19,Plate2_drugs,2,belinostat,treated,0.25,5,1.043103448,1.084522503,1.090574374,1.189781022,0.397672893,0.409306313,0.176157965,0.057687199,0.306169516,0.373014627,0.272078778,0.282486639,0.249392114,0.328635944,0.263854956,0.510358536,0.278612066,0.409829627,0.339430761,0.111578874,0.184267249,0.388988007,0.419155327,0.453703536,0.326772544,0.361568972,0.143367781,0.200944841,0.272331328,0.234536094,0.415653211,0.175473246,0.426977897,0.412826858,0.351488996,0.333877661,0.362656986,0.168161277,0.246394665,0.307728839,0.464249064,0.373808676,0.507394444,0.450297823,0.310357504,0.523701742,0.3704662,0.392789963,0.090057539,0.397915064,0.139457172,0.390078696,0.398752475,0.368409765,0.435162496,0.304599369,0.331807542,0.164787494,0.245197672,0.455202172,0.470651943,0.425497755,0.265145331,0.119142197,0.42004326,0.287345365,0.36052658,0.402872569,0.199625578,0.368166818,0.461078589,0.462228011,0.232494888
bendamustine_0.3125_0.015625,1,N18,14,18,bendamustine,Bendamustine,treated,N18,Plate1_drugs,1,bendamustine,treated,0.015625,0.3125,0.944904722,1.026099925,1.015313936,0.462433862,0.305029659,0.310560359,0.294283376,0.373550706,0.127638611,0.236305472,0.157029847,0.190758894,0.283307988,0.471269608,0.280987335,0.252780081,0.241044786,0.204564728,0.312611111,0.384044016,0.329790332,0.273113106,0.180273,0.240585513,0.262657356,0.314368785,0.313278893,0.267552109,0.276908233,0.309354298,0.408978787,0.42027744,0.583142447,0.542464841,0.484747589,0.228355177,0.359496082,0.577948299,0.573440093,0.546846803,0.444534066,0.515897783,0.357726934,0.413028656,0.405410741,0.628826701,0.577121069,0.546887027,0.296027773,0.453412891,0.24422278,0.341822591,0.154583947,0.319434753,0.298487897,0.305451166,0.292048563,0.400291682,0.355659082,0.37547504,0.444493515,0.406902447,0.197006785,0.191348325,0.395757067,0.111270959,0.335549681,0.350977712,0.138722614,0.147610622,0.148448473,0.21346112,0.318579864
bendamustine_0.625_0.03125,1,N17,14,17,bendamustine,Bendamustine,treated,N17,Plate1_drugs,1,bendamustine,treated,0.03125,0.625,0.814415907,0.908277405,1.028330781,0.439153439,0.239044547,0.231902854,0.284169252,0.241320468,0.247640501,0.170985314,0.10034012,0.200156785,0.315330318,0.498948976,0.283607145,0.341164825,0.40471087,0.358710923,0.211466422,0.470316249,0.191691688,0.483602265,0.170743331,0.367439348,0.473426597,0.423266307,0.088032101,0.242679555,0.371790256,0.299959328,0.447674791,0.466001425,0.601949754,0.547788315,0.534443357,0.253120914,0.446911397,0.540966309,0.63880834,0.519248669,0.472089951,0.527609566,0.199761376,0.470658363,0.291438525,0.510060854,0.538543988,0.490143841,0.275979437,0.444092137,0.119642292,0.334270492,0.318371014,0.384899249,0.331576419,0.121097244,0.386998343,0.374658348,0.346631479,0.329902712,0.397432914,0.392983064,0.193710231,0.077081332,0.472326606,0.095444087,0.317390422,0.34733741,0.260086973,0.132553367,0.357427972,0.351772548,0.408777917
bendamustine_1.25_0.0625,1,N16,14,16,bendamustine,Bendamustine,treated,N16,Plate1_drugs,1,bendamustine,treated,0.0625,1.25,0.264705882,0.507829978,0.60719755,0.373544974,0.574256558,0.383917114,0.593644767,0.342824582,0.439388283,0.562501423,0.461614676,0.539896658,0.517977792,0.575242113,0.531435922,0.457892693,0.66791636,0.50051052,0.31021533,0.746352914,0.54750594,0.723449333,0.501526259,0.576330671,0.651894387,0.362150498,0.413274512,0.416211469,0.388698598,0.467873671,0.519966814,0.497190081,0.593444152,0.578186489,0.542686007,0.264117051,0.436835562,0.651056229,0.641878197,0.554208711,0.466124331,0.548017859,0.322117326,0.558500497,0.455540581,0.845948378,0.559597482,0.441799492,0.475764847,0.41991923,0.449749865,0.471948506,0.445133654,0.530151038,0.439292929,0.362058148,0.533601682,0.320133518,0.463107801,0.30695176,0.404464838,0.360830483,0.513669568,0.396488693,0.582451624,0.474737834,0.44492543,0.581321635,0.429431946,0.458055194,0.514763184,0.476598696,0.51217316
bendamustine_10_0.5,1,N12,14,12,bendamustine,Bendamustine,treated,N12,Plate1_drugs,1,bendamustine,treated,0.5,10,0.132974316,0.178970917,0.264165391,0.422222222,0.461307117,0.463820122,0.622387491,0.400357202,0.503131785,0.675661446,0.55135012,0.648724185,0.547567551,0.646858917,0.647321174,0.428517193,0.766158141,0.536241236,0.520487334,0.787189413,0.637102206,0.771957388,0.575620074,0.649239665,0.706232416,0.525188619,0.473250304,0.452554766,0.540859067,0.606922561,0.477026792,0.472898817,0.592336174,0.538082536,0.578568898,0.426822334,0.485688208,0.546111816,0.629141104,0.607556204,0.559941725,0.536575649,0.326900671,0.45579503,0.376772239,0.696283228,0.526495134,0.540014326,0.478756857,0.307987367,0.528805568,0.484138292,0.519436078,0.585875783,0.464828202,0.547496314,0.761152359,0.438359367,0.432448313,0.498551266,0.428647793,0.221516607,0.495997399,0.521815589,0.605716496,0.551995547,0.645714053,0.633601409,0.595450702,0.61211038,0.54871575,0.464388605,0.612140406
bendamustine_2.5_0.125,1,N15,14,15,bendamustine,Bendamustine,treated,N15,Plate1_drugs,1,bendamustine,treated,0.125,2.5,0.10024855,0.248322148,0.260336907,0.371428571,0.463355176,0.422521754,0.621079915,0.353823508,0.389686855,0.632050662,0.517117731,0.634802409,0.56205647,0.577388811,0.597978183,0.439201506,0.756187212,0.53937951,0.487240527,0.765263931,0.570780413,0.749238182,0.495611398,0.617638437,0.731972689,0.572297459,0.421014332,0.442446677,0.43891569,0.507095144,0.52915183,0.495512528,0.590686979,0.548064178,0.5420041,0.25783955,0.466525287,0.610580352,0.639064632,0.514955356,0.446222874,0.546641406,0.240575913,0.42999475,0.333772595,0.630608722,0.507676618,0.446917379,0.508513013,0.246918991,0.523421853,0.496363294,0.50966805,0.573461873,0.44965387,0.5023376,0.71935188,0.38507076,0.472173568,0.463354458,0.480013063,0.320106161,0.650467557,0.576186835,0.612128848,0.53998353,0.573166541,0.568726587,0.604298982,0.621188967,0.597607256,0.485852277,0.615271877
bendamustine_20_1,1,N11,14,11,bendamustine,Bendamustine,treated,N11,Plate1_drugs,1,bendamustine,treated,1,20,0.161971831,0.198359433,0.284073507,0.453968254,0.462030014,0.443711082,0.547688495,0.390771279,0.461612443,0.655022907,0.518327039,0.664423502,0.586917848,0.5976337,0.638216263,0.381012847,0.785005779,0.560797432,0.61918621,0.74092097,0.542732427,0.773587915,0.463476939,0.53856074,0.692749521,0.610194429,0.270288221,0.400476566,0.485181992,0.490738257,0.653818171,0.451498015,0.632841792,0.526989647,0.549876616,0.470692585,0.394871686,0.635534261,0.832562306,0.545119632,0.599630837,0.559919794,0.53755743,0.538661309,0.452990461,0.847013967,0.527068279,0.667103312,0.459527203,0.415704506,0.506538494,0.482068589,0.515701527,0.557250719,0.498572017,0.565582091,0.776885483,0.422110862,0.41679784,0.531768815,0.422896451,0.331479362,0.534486158,0.538539573,0.743125391,0.604133303,0.736150837,0.658411577,0.60063727,0.639089722,0.591771706,0.526552804,0.626057827
bendamustine_5_0.25,1,N13,14,13,bendamustine,Bendamustine,treated,N13,Plate1_drugs,1,bendamustine,treated,0.25,5,0.145401823,0.173750932,0.277182236,0.366137566,0.451422732,0.455359645,0.507182437,0.428508505,0.44278699,0.646100355,0.519130452,0.659407971,0.617621737,0.599512649,0.625410407,0.46222428,0.763401776,0.617945292,0.642597151,0.725591212,0.518399948,0.804135068,0.442086088,0.527086924,0.645550482,0.592365534,0.317358764,0.400853469,0.509596986,0.506525709,0.536360783,0.502842718,0.604516052,0.557311881,0.547936453,0.271059555,0.351593289,0.600027042,0.602850867,0.597423952,0.504573097,0.555421452,0.268282377,0.531971472,0.401658013,0.81599809,0.565895637,0.498643291,0.538878571,0.344250771,0.543359153,0.431930063,0.514141708,0.597312941,0.432748218,0.541020408,0.740562309,0.360072319,0.506978215,0.453048102,0.475774185,0.297840231,0.527202009,0.532975116,0.575519324,0.533068055,0.658934722,0.636812892,0.60400023,0.613848403,0.533438686,0.379347549,0.609738045
