Treatment,Metadata_treatment_old,Metadata_treatment_new,Drug_name,Metadata_dil_factor,Metadata_concentration_uM,drug_conc,Cell_count_poc,cell_count_POC_C2,cell_count_POC_C1,cell_count_POC_B,V1,V2,V3
treated,Latrunculin A,latrunculin-a,latrunculin-a,0.125,0.00625,latrunculin-a_0.00625_0.125,0.311576355,0.442371021,0.460972018,0.467153285,0.924194727,-0.751844241,-4.619505155
treated,Actinomycin D,dactinomycin,dactinomycin,0.125,2.5,dactinomycin_2.5_0.125,0.740968801,1.000548847,0.993372607,0.743482795,0.42015018,-0.899474299,-1.037164574
treated,Chlortetracycline,chlortetracycline,chlortetracycline,1,20,chlortetracycline_20_1,0.782518641,0.926920209,0.897396631,0.485714286,0.627565844,0.293912824,1.085635121
treated,Cytochalasin D,cytochalasin-d,cytochalasin-d,0.015625,0.000781,cytochalasin-d_0.000781_0.015625,0.937602627,0.990669594,1.084683358,0.99270073,-0.422436888,1.567570177,-0.563533706
treated,Cytochalasin D,cytochalasin-d,cytochalasin-d,0.03125,0.0015625,cytochalasin-d_0.0015625_0.03125,0.944170772,0.91273326,1.038291605,1.115745568,-1.155085629,1.398222292,1.527378986
treated,Cytochalasin D,cytochalasin-d,cytochalasin-d,0.0625,0.003125,cytochalasin-d_0.003125_0.0625,0.899425287,0.958287596,1.036818851,1.288842544,-0.68853651,0.431426761,1.239000893
treated,DTT,DTT,DTT,0.125,2.5,DTT_2.5_0.125,0.765188834,0.798572997,0.763622975,0.911366006,-0.772825902,2.365908051,1.954884235
treated,Gemcitabine,gemcitabine,gemcitabine,0.015625,0.3125,gemcitabine_0.3125_0.015625,1.028997514,1.029082774,1.032924962,0.810582011,-1.947960427,2.354999498,1.264686072
treated,Pifithrin-mu,pifithrin-mu,pifithrin-mu,1,10,pifithrin-mu_10_1,1.051313629,1.026893524,0.969808542,1.130344108,-0.953362065,1.581335148,2.999207166
treated,Pifithrin-mu,pifithrin-mu,pifithrin-mu,0.5,5,pifithrin-mu_5_0.5,0.952791461,1.080680571,1.104565538,1.02189781,-0.759217034,1.134421277,2.314149986
treated,Rolipram,rolipram,rolipram,1,20,rolipram_20_1,0.958989229,0.888143177,1.008422665,1.003174603,-0.870642774,2.738548675,2.447616411
treated,Quinacrine,mepacrine,mepacrine,1,20,mepacrine_20_1,0.616404308,0.634601044,0.727411945,0.448677249,1.40143506,-1.787558506,-4.404590612
treated,Quinacrine,mepacrine,mepacrine,0.5,10,mepacrine_10_0.5,0.850455675,0.943325876,1.04517611,0.733333333,0.686847728,-0.218384188,-0.554672753
treated,Puromycin,puromycin,puromycin,0.25,1.25,puromycin_1.25_0.25,0.995073892,0.974753019,0.957290133,1.11261731,-0.600180112,2.336871403,2.078090715
treated,Puromycin,puromycin,puromycin,0.5,2.5,puromycin_2.5_0.5,1.027914614,0.996706915,1.021354934,1.287799791,-0.607478196,2.465262907,2.043968578
treated,Puromycin,puromycin,puromycin,1,5,puromycin_5_1,0.956896552,1.073545554,1.024300442,1.516162669,-0.692565828,2.166367819,0.965535724
treated,Sirtinol,sirtinol,sirtinol,0.125,2.5,sirtinol_2.5_0.125,0.46182266,0.526893524,0.551546392,0.364963504,1.188428863,-1.65579518,-4.279614332
treated,Doxorubicin,doxorubicin,doxorubicin,1,5,doxorubicin_5_1,0.34009942,0.604026846,0.624042879,0.37037037,0.712930167,-1.698765526,-4.038305813
treated,Daunorubicin HCl,daunorubicin,daunorubicin,0.5,2.5,daunorubicin_2.5_0.5,0.375724938,0.54660701,0.612557427,0.397883598,1.159931511,-2.0396438,-4.076983691
treated,Amsacrine,amsacrine,amsacrine,0.0625,1.25,amsacrine_1.25_0.0625,0.405172414,0.53622393,0.512518409,0.485922836,0.930945904,-0.752934114,-4.539379634
treated,Amsacrine,amsacrine,amsacrine,0.125,2.5,amsacrine_2.5_0.125,0.401888342,0.46377607,0.448453608,0.427528676,0.927619655,-0.77903717,-4.621273186
treated,Amsacrine,amsacrine,amsacrine,0.25,5,amsacrine_5_0.25,0.32183908,0.476399561,0.441089838,0.311783107,0.98852124,-0.809371436,-4.711515565
treated,Amsacrine,amsacrine,amsacrine,0.03125,0.625,amsacrine_0.625_0.03125,0.837848933,0.969813392,0.857879234,0.639207508,-0.713798303,2.086086164,0.246129838
treated,Mitoxantrone,mitoxantrone,mitoxantrone,0.015625,0.078125,mitoxantrone_0.078125_0.015625,0.955665025,0.984632272,1.04712813,1.159541189,-1.151396651,2.600341484,1.941306941
treated,Mitoxantrone,mitoxantrone,mitoxantrone,0.03125,0.15625,mitoxantrone_0.15625_0.03125,0.887110016,0.6701427,0.692930781,0.953076121,-0.305655085,1.609006616,0.2956034
treated,Perifosine (KRX-0401),perifosine,perifosine,1,20,perifosine_20_1,0.285303777,0.353457739,0.363033873,0.363920751,0.54932247,-1.65705478,-4.064912291
treated,Flavopiridol,alvocidib,alvocidib,0.5,10,alvocidib_10_0.5,0.14001657,0.175242356,0.238897397,0.686772487,1.326124933,-1.569707452,-4.15312786
treated,Flavopiridol,alvocidib,alvocidib,0.125,2.5,alvocidib_2.5_0.125,0.22079536,0.32885906,0.313935681,1.237037037,1.077929203,-1.298935029,-3.961499976
