"","dactinomycin","9-aminoacridine","amsacrine","anisomycin","belinostat","bendamustine","brefeldin-a","cisplatin","cytochalasin-d","daunorubicin","desipramine","digitoxin","doxorubicin","DTT","dynasore","emetine","alvocidib","floxuridine","fluvastatin","gemcitabine","haloperidol","irinotecan","latrunculin-a","leupeptin","lomustine","methotrexate","MG-101","mitomycin-c","mitoxantrone","monensin","nocodazole","paclitaxel","perifosine","puromycin","mepacrine","sirolimus","deforolimus","rolipram","sirtinol","tanespimycin","tetrandrine","tolfenamic-acid","trichostatin-a","vincristine","vorinostat","amygdalin","antimycin-a","bleomycin","BTB06584","chlortetracycline","CK-636","CPI-613","eliglustat","erastin","FCCP","golgicide-A","LTX-315","mdivi-1","MLN0128","NSC-697923","oligomycin-a","picropodophyllin","pifithrin-mu","selinexor","tunicamycin"
"tanespimycin","0.681157631","0.532401354","0.578588047","0.616249853","0.591489409","0.59876505","0.620831803","0.502720278","0.695841723","0.6470614","0.586009134","0.638084661","0.650854571","0.523647061","0.562479255","0.616962385","0.640173157","0.637915704","0.635793418","0.649861925","0.589186906","0.688813285","0.676264213","0.578294603","0.565983585","0.629118531","0.57230374","0.736398482","0.598938195","0.59513952","0.601223478","0.683827594","0.560754492","0.665190934","0.592033206","0.713740074","0.71012011","0.593332856","0.593292433","1","0.602921547","0.567335579","0.603252265","0.706272774","0.578180346","0.613894646","0.63148078","0.693360502","0.578754585","0.696357738","0.595057638","0.569692616","0.631047669","0.622830192","0.537914265","0.63913664","0.626425523","0.596331186","0.624740793","0.563864247","0.661470109","0.627009946","0.527178572","0.615132485","0.698336585"
"tetrandrine","0.643383831","0.539380399","0.58435098","0.647542539","0.575798671","0.588786135","0.556827755","0.502639145","0.634695185","0.639906135","0.603199472","0.570502537","0.638981538","0.523007611","0.595024265","0.733488132","0.631354906","0.590412806","0.605059082","0.591510186","0.593759592","0.648981834","0.595561328","0.562834197","0.555749036","0.621677794","0.5533394","0.615933908","0.60843955","0.559985563","0.601752185","0.637610047","0.548579239","0.649051335","0.600581537","0.599589986","0.603764913","0.671166339","0.63289595","0.602921547","1","0.567371162","0.584428971","0.648355573","0.556995549","0.594421219","0.62896778","0.648733015","0.593226076","0.620226286","0.631285114","0.571199573","0.671243643","0.621253083","0.553023952","0.612409963","0.631891316","0.617464477","0.607845433","0.580928641","0.572067288","0.648032436","0.53857759","0.596295089","0.621003014"
"tolfenamic-acid","0.571977321","0.575943821","0.611190317","0.571545863","0.597108367","0.578402193","0.538475224","0.503477775","0.568097526","0.572607374","0.64244071","0.542323233","0.572380505","0.526283855","0.59093503","0.571679044","0.585415748","0.561089169","0.568429519","0.555392249","0.608196195","0.572563888","0.556489207","0.538427845","0.543824149","0.594179688","0.537716644","0.56227774","0.597301838","0.54127791","0.577751169","0.580804082","0.535632375","0.565334708","0.586014243","0.559823315","0.557652945","0.576095368","0.604457469","0.567335579","0.567371162","1","0.601176711","0.569394317","0.600653469","0.581231086","0.589387405","0.571610153","0.592916824","0.589240339","0.573465173","0.573586537","0.589800059","0.578933495","0.57135243","0.589830403","0.572486072","0.612877602","0.568346588","0.580744838","0.545462023","0.578045729","0.552268835","0.572512124","0.563241923"
"trichostatin-a","0.588311489","0.56030556","0.576318514","0.605323966","0.599657568","0.59806459","0.567734536","0.501535866","0.605016141","0.59314038","0.632519247","0.565278407","0.59267475","0.526716593","0.577402906","0.588623345","0.606163033","0.583855884","0.590731523","0.582211889","0.618764651","0.591854932","0.585168119","0.554895888","0.555217675","0.605738778","0.555888038","0.578214791","0.597179202","0.555243935","0.587003515","0.604705898","0.54882809","0.588500075","0.585220876","0.592301229","0.591111701","0.602190846","0.618167024","0.603252265","0.584428971","0.601176711","1","0.595604758","0.608915408","0.5752445","0.604602386","0.578075079","0.590369756","0.608813498","0.60786303","0.571977321","0.600644527","0.586346168","0.557070646","0.611032232","0.600355475","0.593167569","0.574349177","0.572171898","0.581633318","0.587346378","0.54879086","0.578254289","0.580824487"
"vincristine","0.756174678","0.543404357","0.606218481","0.642102201","0.600796055","0.623448889","0.588804421","0.502143926","0.719098026","0.723671857","0.600104238","0.607576843","0.726426576","0.518577522","0.579625106","0.656418898","0.673329681","0.633721284","0.686208936","0.640257941","0.591986575","0.771248491","0.662486657","0.568446372","0.554574513","0.659334541","0.555905909","0.702211597","0.626924968","0.582193406","0.621389163","0.704067333","0.550580107","0.735814291","0.618273486","0.683430743","0.69183477","0.625800791","0.605256417","0.706272774","0.648355573","0.569394317","0.595604758","1","0.57464162","0.618057922","0.65457531","0.810460612","0.596541675","0.724910323","0.645357743","0.56549743","0.666280319","0.68376694","0.544113933","0.674017121","0.683693588","0.61920896","0.656008723","0.575660548","0.625859394","0.663584764","0.530402011","0.63427563","0.721473274"
"vorinostat","0.567552393","0.581082197","0.581265906","0.585215877","0.584642552","0.593252903","0.55661894","0.501984348","0.589902987","0.570509407","0.632359023","0.555337233","0.571051708","0.531694685","0.565543869","0.579358385","0.567362086","0.573784762","0.567618869","0.565944714","0.589033555","0.562700603","0.585618678","0.595720529","0.615933908","0.590007815","0.607028177","0.574759745","0.592566719","0.564422195","0.553882172","0.57702822","0.570190587","0.566711097","0.632955488","0.581314703","0.578714135","0.577848373","0.586383697","0.578180346","0.556995549","0.600653469","0.608915408","0.57464162","1","0.557828959","0.612026772","0.565165061","0.565689458","0.573696911","0.57048277","0.582479718","0.592073371","0.584026388","0.573691524","0.597142659","0.592202037","0.597278909","0.555433228","0.568256972","0.564221732","0.565766511","0.539482895","0.561649477","0.574479934"
"amygdalin","0.612807769","0.534910127","0.566138158","0.605684898","0.574349177","0.579218965","0.586294885","0.501094488","0.615993419","0.659317877","0.579114502","0.693622317","0.661055636","0.531015673","0.568189645","0.592916824","0.616599446","0.59480212","0.600122093","0.60295195","0.591226991","0.616552614","0.619337251","0.549887845","0.542206917","0.587959381","0.545959437","0.598317031","0.579309414","0.711344681","0.581347267","0.675853568","0.55019725","0.615018323","0.572603654","0.623413313","0.621966108","0.601916327","0.587916923","0.613894646","0.594421219","0.581231086","0.5752445","0.618057922","0.557828959","1","0.625573549","0.630972113","0.582211889","0.611922189","0.588799788","0.591741087","0.607406371","0.58326452","0.545253866","0.595458541","0.59058001","0.575726249","0.585968942","0.572366578","0.639143446","0.634062355","0.544181226","0.584551688","0.636973157"
"antimycin-a","0.671177835","0.552682235","0.598995787","0.630797585","0.58673023","0.60495836","0.596964587","0.500887164","0.642694363","0.643854616","0.604589836","0.619323434","0.645469599","0.526209819","0.609634709","0.626408123","0.620844055","0.606948502","0.620229002","0.610668587","0.596104948","0.648702157","0.654866781","0.569498408","0.560509484","0.664628226","0.568120813","0.631023843","0.64248845","0.620164178","0.599256549","0.703857598","0.558152075","0.651375013","0.615242811","0.661143531","0.661399918","0.620825851","0.634721457","0.63148078","0.62896778","0.589387405","0.604602386","0.65457531","0.612026772","0.625573549","1","0.664284754","0.594404293","0.634311064","0.620348608","0.579325612","0.625978603","0.657254928","0.56093232","0.624192832","0.623766919","0.639891594","0.604804122","0.582990676","0.624230459","0.624396443","0.538169328","0.599942098","0.649073377"
"bleomycin","0.774690337","0.534981525","0.59553675","0.617072009","0.590587802","0.614172466","0.58305707","0.502064737","0.679764639","0.72135087","0.590232628","0.612747406","0.724868779","0.519227201","0.579375839","0.64251309","0.665812016","0.625235634","0.667920786","0.636082177","0.58720442","0.767692145","0.665430339","0.570173812","0.548942545","0.661604249","0.560078544","0.707644408","0.625219714","0.590612045","0.630782459","0.699880792","0.548650775","0.742754371","0.607998131","0.682940071","0.691921411","0.615037262","0.604218749","0.693360502","0.648733015","0.571610153","0.578075079","0.810460612","0.565165061","0.630972113","0.664284754","1","0.59518995","0.711074782","0.626867823","0.56513771","0.655923948","0.683280306","0.542946186","0.665006867","0.666378802","0.612759587","0.660352665","0.577733684","0.625474969","0.65638649","0.527876018","0.635640039","0.725065991"
"BTB06584","0.607051704","0.551529299","0.582742417","0.599420695","0.596319231","0.581807871","0.54637451","0.503999516","0.595128595","0.601597787","0.565881324","0.551926705","0.601048731","0.521903749","0.586971543","0.594603558","0.602264225","0.575154","0.574874974","0.565637514","0.601512518","0.599053266","0.572239212","0.556265738","0.546605328","0.593835122","0.549713623","0.577907048","0.59222222","0.551119025","0.597629047","0.596957582","0.543323382","0.600640637","0.589938457","0.575711846","0.575266607","0.598814473","0.597778625","0.578754585","0.593226076","0.592916824","0.590369756","0.596541675","0.565689458","0.582211889","0.594404293","0.59518995","1","0.600355475","0.580006677","0.569394317","0.613771962","0.612367385","0.582106422","0.573669053","0.591948034","0.604298528","0.586894617","0.639626164","0.552372183","0.594992503","0.54824413","0.57786815","0.58333157"
"chlortetracycline","0.694716298","0.536318105","0.583131633","0.634016632","0.594758988","0.601594036","0.607125173","0.502477229","0.720200541","0.700670173","0.588089863","0.614240268","0.704850242","0.522215712","0.57731489","0.646684538","0.665041767","0.630828794","0.650380798","0.631244226","0.612734221","0.698843315","0.663592464","0.570753027","0.563199193","0.637711114","0.561231024","0.68151084","0.626509642","0.588534951","0.60762368","0.69279842","0.558381107","0.669573115","0.595978972","0.689146254","0.689599095","0.623288651","0.609413695","0.696357738","0.620226286","0.589240339","0.608813498","0.724910323","0.573696911","0.611922189","0.634311064","0.711074782","0.600355475","1","0.615449256","0.579875781","0.656927156","0.636221274","0.548497111","0.657718965","0.646762536","0.601512518","0.626891633","0.572874319","0.639509972","0.662158185","0.537036773","0.612443685","0.685175492"
"CK-636","0.627514285","0.57912895","0.598241199","0.605386979","0.582189562","0.614373867","0.554863867","0.5","0.619812671","0.613387977","0.605390604","0.563471206","0.612750196","0.515960788","0.587416681","0.630778763","0.605217975","0.582134514","0.641027858","0.584299014","0.589372052","0.634068669","0.589082499","0.554230787","0.552306369","0.642745202","0.552824367","0.599100343","0.591948034","0.548257039","0.641642209","0.635957894","0.540427067","0.633969592","0.614515226","0.596743732","0.596352514","0.613674933","0.630276335","0.595057638","0.631285114","0.573465173","0.60786303","0.645357743","0.57048277","0.588799788","0.620348608","0.626867823","0.580006677","0.615449256","1","0.567156261","0.614810746","0.615167262","0.537939409","0.625070604","0.699460128","0.604488336","0.604538446","0.581008106","0.570604335","0.597037004","0.548548026","0.595689147","0.599378177"
"CPI-613","0.572034774","0.536467434","0.553742371","0.582366793","0.574991647","0.569272817","0.586632781","0.501907881","0.590527281","0.575765847","0.570245544","0.577361643","0.577035014","0.5599094","0.572439526","0.574872096","0.580120679","0.557737298","0.587386068","0.559804735","0.585367409","0.568208366","0.587379632","0.548900053","0.553243078","0.584388624","0.552438163","0.562846178","0.563471206","0.592959876","0.562986086","0.587289137","0.559239613","0.574724284","0.56090531","0.575426155","0.574055446","0.590325813","0.574137457","0.569692616","0.571199573","0.573586537","0.571977321","0.56549743","0.582479718","0.591741087","0.579325612","0.56513771","0.569394317","0.579875781","0.567156261","1","0.591653987","0.562967286","0.542066349","0.563318472","0.573545481","0.555640947","0.560503003","0.578294603","0.590207726","0.585543437","0.55692523","0.560681836","0.567500004"
"eliglustat","0.663869224","0.534555836","0.579263032","0.696755024","0.58334849","0.593857382","0.569345666","0.502693848","0.675278635","0.656020528","0.603966729","0.576847355","0.655789336","0.530265955","0.587303942","0.726842592","0.654270835","0.606411406","0.611332941","0.614969418","0.680520977","0.653064705","0.606051358","0.616265584","0.571260103","0.627293283","0.620928906","0.639315247","0.615108596","0.580708456","0.600546485","0.645003122","0.574536995","0.684401486","0.617900939","0.642004688","0.639941822","0.753706423","0.628198729","0.631047669","0.671243643","0.589800059","0.600644527","0.666280319","0.592073371","0.607406371","0.625978603","0.655923948","0.613771962","0.656927156","0.614810746","0.591653987","1","0.643909085","0.558109725","0.631137324","0.690255061","0.60522666","0.604337135","0.591618302","0.584051756","0.674524113","0.541321829","0.600307233","0.645094854"
"erastin","0.688550904","0.548757723","0.611812369","0.617337883","0.587349018","0.614020027","0.559393952","0.503630798","0.633025769","0.648198338","0.604791515","0.56919889","0.647250389","0.517490102","0.58755843","0.626789554","0.625803761","0.582390965","0.634935017","0.595538161","0.588232442","0.665769755","0.603450282","0.574203369","0.549725662","0.646086704","0.560013626","0.631702592","0.63116061","0.559164447","0.609129141","0.637340498","0.546049182","0.667830177","0.630723037","0.623351137","0.627728358","0.619977033","0.629960525","0.622830192","0.621253083","0.578933495","0.586346168","0.68376694","0.584026388","0.58326452","0.657254928","0.683280306","0.612367385","0.636221274","0.615167262","0.562967286","0.643909085","1","0.561737784","0.63573227","0.631267276","0.661374727","0.614792551","0.579813265","0.577143318","0.61740266","0.535087732","0.599824051","0.630147397"
"FCCP","0.545784941","0.576505152","0.58326452","0.563360824","0.562012724","0.551014323","0.536496009","0.502825626","0.54986252","0.5529581","0.552927139","0.53546718","0.552224898","0.519879798","0.571831489","0.554875013","0.544689505","0.546779954","0.548266024","0.541117668","0.556777345","0.54706396","0.543083848","0.528723765","0.542773072","0.555749036","0.52656692","0.537410183","0.567907171","0.537126324","0.550292894","0.543661861","0.530278231","0.55116236","0.58084141","0.540522297","0.540735264","0.572299562","0.568128834","0.537914265","0.553023952","0.57135243","0.557070646","0.544113933","0.573691524","0.545253866","0.56093232","0.542946186","0.582106422","0.548497111","0.537939409","0.542066349","0.558109725","0.561737784","1","0.55104571","0.540550009","0.576794029","0.549077099","0.551109522","0.539710032","0.557513887","0.551734253","0.546667545","0.547064822"
"golgicide-A","0.655471831","0.560264157","0.596799879","0.613153475","0.588198496","0.605086656","0.564360162","0.500777675","0.646663877","0.631311458","0.634008575","0.577874664","0.63284362","0.516488636","0.576674358","0.630677937","0.626705471","0.606931357","0.634484936","0.613067422","0.604044722","0.652420875","0.623288651","0.564445011","0.561624107","0.641202375","0.559293181","0.631164581","0.619701201","0.568322843","0.606658258","0.637843673","0.553152426","0.657156524","0.62889706","0.629305227","0.630385637","0.619739794","0.614566338","0.63913664","0.612409963","0.589830403","0.611032232","0.674017121","0.597142659","0.595458541","0.624192832","0.665006867","0.573669053","0.657718965","0.625070604","0.563318472","0.631137324","0.63573227","0.55104571","1","0.64869037","0.612298771","0.620133567","0.563905043","0.591061154","0.616228991","0.539677517","0.600391374","0.63826468"
"LTX-315","0.659987316","0.569450767","0.595361665","0.64295156","0.586505209","0.603977358","0.566090445","0.500827829","0.661626099","0.642601933","0.61094267","0.56926608","0.644171725","0.520084585","0.580009783","0.674408203","0.62905992","0.608682032","0.635299986","0.621761413","0.626605897","0.653572757","0.61318424","0.628977834","0.571426834","0.63352059","0.631716604","0.645572137","0.621070748","0.564152577","0.635945522","0.637860105","0.559278172","0.669555985","0.644598053","0.632687002","0.631939443","0.649070853","0.613726826","0.626425523","0.631891316","0.572486072","0.600355475","0.683693588","0.592202037","0.59058001","0.623766919","0.666378802","0.591948034","0.646762536","0.699460128","0.573545481","0.690255061","0.631267276","0.540550009","0.64869037","1","0.593020485","0.618762703","0.585814426","0.583641495","0.633064996","0.543129966","0.615009188","0.638292008"
"mdivi-1","0.611935193","0.560328743","0.613290648","0.595846263","0.587458213","0.603574993","0.556459203","0.50442036","0.601734925","0.607317672","0.595778258","0.562662095","0.607509901","0.517270691","0.594844911","0.610301476","0.6052614","0.57493818","0.59493284","0.564568773","0.579473522","0.613574538","0.585993363","0.551789972","0.564456663","0.637610047","0.546901617","0.589031639","0.618863143","0.552282478","0.594407329","0.612441843","0.546716939","0.607792202","0.617430145","0.588105277","0.590393046","0.609506827","0.616234819","0.596331186","0.617464477","0.612877602","0.593167569","0.61920896","0.597278909","0.575726249","0.639891594","0.612759587","0.604298528","0.601512518","0.604488336","0.555640947","0.60522666","0.661374727","0.576794029","0.612298771","0.593020485","1","0.590737539","0.577638171","0.562318713","0.590524608","0.546466563","0.584388624","0.595489922"
"MLN0128","0.644414386","0.549781193","0.586621804","0.59307275","0.587867943","0.601089381","0.560888082","0.500774201","0.620508143","0.624844292","0.574068394","0.568820952","0.627876535","0.518819606","0.568689978","0.604342162","0.613833108","0.58033316","0.632312514","0.59154774","0.576975255","0.659642833","0.61602423","0.556541966","0.545712726","0.616353218","0.542905854","0.631564233","0.598631566","0.556683635","0.625565269","0.625147411","0.546004266","0.657529967","0.590246217","0.610644993","0.61526967","0.590824958","0.588077897","0.624740793","0.607845433","0.568346588","0.574349177","0.656008723","0.555433228","0.585968942","0.604804122","0.660352665","0.586894617","0.626891633","0.604538446","0.560503003","0.604337135","0.614792551","0.549077099","0.620133567","0.618762703","0.590737539","1","0.592076842","0.589908087","0.600312409","0.536900021","0.624333312","0.625374868"
"NSC-697923","0.584554659","0.560518993","0.568481453","0.584104768","0.596479911","0.580739247","0.549885506","0.501592317","0.58168494","0.573494979","0.58084141","0.546466563","0.573986275","0.526013135","0.576565155","0.576816991","0.579800303","0.552272097","0.571987666","0.554275894","0.576136192","0.579611408","0.562073681","0.551086571","0.540029869","0.576196661","0.544804122","0.571539869","0.584070833","0.548277708","0.573663193","0.576734834","0.534922798","0.582785378","0.572827337","0.563543103","0.565136934","0.579656505","0.581358502","0.563864247","0.580928641","0.580744838","0.572171898","0.575660548","0.568256972","0.572366578","0.582990676","0.577733684","0.639626164","0.572874319","0.581008106","0.578294603","0.591618302","0.579813265","0.551109522","0.563905043","0.585814426","0.577638171","0.592076842","1","0.551101045","0.571589054","0.553742371","0.575658622","0.569243005"
"oligomycin-a","0.614075924","0.52651631","0.56227774","0.60005136","0.563715144","0.580008273","0.73569758","0.501091043","0.661702814","0.620288767","0.552272097","0.760170848","0.623728937","0.534545827","0.546754108","0.58278428","0.599942098","0.602708055","0.614935697","0.604775738","0.567635103","0.625826302","0.73875565","0.555916912","0.546320532","0.591255042","0.552320211","0.632278799","0.578239003","0.684460254","0.572322336","0.677843623","0.5569705","0.607792202","0.566874926","0.711505257","0.702933979","0.580064693","0.563175581","0.661470109","0.572067288","0.545462023","0.581633318","0.625859394","0.564221732","0.639143446","0.624230459","0.625474969","0.552372183","0.639509972","0.570604335","0.590207726","0.584051756","0.577143318","0.539710032","0.591061154","0.583641495","0.562318713","0.589908087","0.551101045","1","0.616890057","0.520808005","0.587067316","0.648066532"
"picropodophyllin","0.649631405","0.533098164","0.577225607","0.675362949","0.585646572","0.588699005","0.588287157","0.501705968","0.651774648","0.699652028","0.582921713","0.607673726","0.7022743","0.525132983","0.570713935","0.676042188","0.641969616","0.599901954","0.617680519","0.609918939","0.614323778","0.652063593","0.619812671","0.55597099","0.556265738","0.612195138","0.552044757","0.622602891","0.603387689","0.600770994","0.602364011","0.662002227","0.547382412","0.655152117","0.585506871","0.627913832","0.62731968","0.656495553","0.60001052","0.627009946","0.648032436","0.578045729","0.587346378","0.663584764","0.565766511","0.634062355","0.624396443","0.65638649","0.594992503","0.662158185","0.597037004","0.585543437","0.674524113","0.61740266","0.557513887","0.616228991","0.633064996","0.590524608","0.600312409","0.571589054","0.616890057","1","0.544272801","0.588726221","0.633207849"
"pifithrin-mu","0.528695325","0.554073068","0.542980036","0.544577457","0.555100028","0.538126475","0.522700679","0.504046209","0.534362403","0.536580887","0.554021719","0.523647061","0.536759972","0.519789718","0.557517163","0.54074567","0.535964284","0.523523619","0.538278871","0.520808005","0.549962281","0.529312556","0.528604387","0.521857708","0.526276042","0.536136083","0.523879783","0.52768121","0.542960412","0.520349896","0.545128569","0.534381126","0.523897874","0.535338074","0.539028603","0.528478994","0.529253661","0.543723072","0.546004266","0.527178572","0.53857759","0.552268835","0.54879086","0.530402011","0.539482895","0.544181226","0.538169328","0.527876018","0.54824413","0.537036773","0.548548026","0.55692523","0.541321829","0.535087732","0.551734253","0.539677517","0.543129966","0.546466563","0.536900021","0.553742371","0.520808005","0.544272801","1","0.537606643","0.524211037"
"selinexor","0.627947288","0.544363224","0.574949278","0.584152322","0.592406836","0.596326517","0.56658359","0.501851813","0.60553249","0.612002458","0.57309666","0.572572675","0.611400966","0.518483174","0.57178647","0.587301192","0.596664695","0.594058638","0.620719115","0.59513952","0.572410464","0.627106043","0.594930749","0.553418783","0.54483595","0.612406705","0.547238951","0.611849276","0.580709872","0.556382982","0.594784035","0.604483647","0.545146751","0.630162994","0.578167261","0.603157438","0.606587586","0.584333088","0.574794164","0.615132485","0.596295089","0.572512124","0.578254289","0.63427563","0.561649477","0.584551688","0.599942098","0.635640039","0.57786815","0.612443685","0.595689147","0.560681836","0.600307233","0.599824051","0.546667545","0.600391374","0.615009188","0.584388624","0.624333312","0.575658622","0.587067316","0.588726221","0.537606643","1","0.618631789"
"tunicamycin","0.700687034","0.536318105","0.583863773","0.62424406","0.590153817","0.597761515","0.600158153","0.501853464","0.683848311","0.678855523","0.581958943","0.649072293","0.679330491","0.522887478","0.568570178","0.62603895","0.639247908","0.734867246","0.638238791","0.703100721","0.586333738","0.693855023","0.682107588","0.582594444","0.571086356","0.626391531","0.568185202","0.68151084","0.609332921","0.622075606","0.601590601","0.678706726","0.5599094","0.683050055","0.603016871","0.69016565","0.692595765","0.609778345","0.587332152","0.698336585","0.621003014","0.563241923","0.580824487","0.721473274","0.574479934","0.636973157","0.649073377","0.725065991","0.58333157","0.685175492","0.599378177","0.567500004","0.645094854","0.630147397","0.547064822","0.63826468","0.638292008","0.595489922","0.625374868","0.569243005","0.648066532","0.633207849","0.524211037","0.618631789","1"
