"","dactinomycin","9-aminoacridine","amsacrine","anisomycin","belinostat","bendamustine","brefeldin-a","cisplatin","cytochalasin-d","daunorubicin","desipramine","digitoxin","doxorubicin","DTT","dynasore","emetine","alvocidib","floxuridine","fluvastatin","gemcitabine","haloperidol","irinotecan","latrunculin-a","leupeptin","lomustine","methotrexate","MG-101","mitomycin-c","mitoxantrone","monensin","nocodazole","paclitaxel","perifosine","puromycin","mepacrine","sirolimus","deforolimus","rolipram","sirtinol","tanespimycin","tetrandrine","tolfenamic-acid","trichostatin-a","vincristine","vorinostat","amygdalin","antimycin-a","bleomycin","BTB06584","chlortetracycline","CK-636","CPI-613","eliglustat","erastin","FCCP","golgicide-A","LTX-315","mdivi-1","MLN0128","NSC-697923","oligomycin-a","picropodophyllin","pifithrin-mu","selinexor","tunicamycin"
"floxuridine","0.616883111","0.535886731","0.564787964","0.61326783","0.585272553","0.58673023","0.589325446","0.501020374","0.630437925","0.620109572","0.578064478","0.605328203","0.619384869","0.527854526","0.557998571","0.596987507","0.609010697","1","0.603623952","0.736670262","0.586173098","0.627742275","0.626887583","0.578505224","0.596799879","0.599681073","0.572750969","0.62906408","0.59022302","0.590422254","0.580373585","0.623654123","0.568631927","0.615572207","0.588097386","0.627736626","0.629960525","0.591781809","0.578639047","0.637915704","0.590412806","0.561089169","0.583855884","0.633721284","0.573784762","0.59480212","0.606948502","0.625235634","0.575154","0.630828794","0.582134514","0.557737298","0.606411406","0.582390965","0.546779954","0.606931357","0.608682032","0.57493818","0.58033316","0.552272097","0.602708055","0.599901954","0.523523619","0.594058638","0.734867246"
"fluvastatin","0.657322431","0.562290569","0.594603558","0.596431493","0.603913485","0.620883238","0.59348058","0.501470691","0.641994207","0.644724457","0.577219435","0.602803396","0.646211684","0.524895849","0.581283752","0.604853884","0.636433903","0.603623952","1","0.601168928","0.594603558","0.68278695","0.61784195","0.557865496","0.548270137","0.629299273","0.5535911","0.633693593","0.608636958","0.573091163","0.601729712","0.654086363","0.551939441","0.647616642","0.612511238","0.643574516","0.651479408","0.596799879","0.594256733","0.635793418","0.605059082","0.568429519","0.590731523","0.686208936","0.567618869","0.600122093","0.620229002","0.667920786","0.574874974","0.650380798","0.641027858","0.587386068","0.611332941","0.634935017","0.548266024","0.634484936","0.635299986","0.59493284","0.632312514","0.571987666","0.614935697","0.617680519","0.538278871","0.620719115","0.638238791"
"gemcitabine","0.631279968","0.535616982","0.570061387","0.614148787","0.573272138","0.577892262","0.584235541","0.500979981","0.630900269","0.62228115","0.582703279","0.607514916","0.62315537","0.527837998","0.558990678","0.605461107","0.611567826","0.736670262","0.601168928","1","0.592117765","0.640891249","0.626444896","0.584837298","0.573173707","0.601512518","0.572410464","0.631291168","0.592351549","0.599952983","0.58168494","0.625068363","0.574349177","0.632251925","0.591392355","0.630204787","0.631382144","0.599030095","0.589910743","0.649861925","0.591510186","0.555392249","0.582211889","0.640257941","0.565944714","0.60295195","0.610668587","0.636082177","0.565637514","0.631244226","0.584299014","0.559804735","0.614969418","0.595538161","0.541117668","0.613067422","0.621761413","0.564568773","0.59154774","0.554275894","0.604775738","0.609918939","0.520808005","0.59513952","0.703100721"
"haloperidol","0.597637532","0.541480984","0.555981987","0.629223985","0.565337564","0.579195064","0.557774549","0.501577819","0.617500101","0.605099501","0.605767531","0.562952201","0.604473925","0.53727568","0.580144697","0.642580433","0.642998197","0.586173098","0.594603558","0.592117765","1","0.586563628","0.568700544","0.605782986","0.566916457","0.594397931","0.615260839","0.593052264","0.598643954","0.568643183","0.58062809","0.609720129","0.602342815","0.608254757","0.611527139","0.606479162","0.602641819","0.627707945","0.620280191","0.589186906","0.593759592","0.608196195","0.618764651","0.591986575","0.589033555","0.591226991","0.596104948","0.58720442","0.601512518","0.612734221","0.589372052","0.585367409","0.680520977","0.588232442","0.556777345","0.604044722","0.626605897","0.579473522","0.576975255","0.576136192","0.567635103","0.614323778","0.549962281","0.572410464","0.586333738"
"irinotecan","0.735945467","0.545123016","0.601476374","0.63187607","0.610143301","0.616616458","0.592527038","0.501466542","0.686343385","0.691213683","0.588699005","0.60784797","0.694820702","0.518105432","0.576421002","0.644308166","0.668131592","0.627742275","0.68278695","0.640891249","0.586563628","1","0.649522308","0.568403205","0.552341118","0.661825421","0.558051412","0.688244417","0.62120068","0.57791756","0.619521791","0.700274613","0.547895549","0.714308841","0.614570375","0.678890122","0.686242377","0.618349115","0.609506827","0.688813285","0.648981834","0.572563888","0.591854932","0.771248491","0.562700603","0.616552614","0.648702157","0.767692145","0.599053266","0.698843315","0.634068669","0.568208366","0.653064705","0.665769755","0.54706396","0.652420875","0.653572757","0.613574538","0.659642833","0.579611408","0.625826302","0.652063593","0.529312556","0.627106043","0.693855023"
"latrunculin-a","0.647088506","0.534790749","0.574629604","0.609186448","0.581907284","0.592823581","0.664250611","0.501657029","0.682521556","0.630158048","0.574642518","0.669098194","0.634115887","0.530802506","0.563868922","0.599245032","0.62352956","0.626887583","0.61784195","0.626444896","0.568700544","0.649522308","1","0.570835468","0.573313821","0.6167848","0.564668355","0.661935204","0.604693501","0.625076757","0.589908087","0.678769568","0.561091007","0.639672517","0.590612045","0.708391006","0.703409622","0.58944741","0.580419361","0.676264213","0.595561328","0.556489207","0.585168119","0.662486657","0.585618678","0.619337251","0.654866781","0.665430339","0.572239212","0.663592464","0.589082499","0.587379632","0.606051358","0.603450282","0.543083848","0.623288651","0.61318424","0.585993363","0.61602423","0.562073681","0.73875565","0.619812671","0.528604387","0.594930749","0.682107588"
"leupeptin","0.585969885","0.524386442","0.545133669","0.573173707","0.546935126","0.560601902","0.544444594","0.5","0.577892262","0.567668667","0.565321259","0.548993149","0.568228299","0.530909721","0.550163004","0.587223652","0.568453602","0.578505224","0.557865496","0.584837298","0.605782986","0.568403205","0.570835468","1","0.60005136","0.567951005","0.838484694","0.593873248","0.572478778","0.559293181","0.554230787","0.56490038","0.59036104","0.579562665","0.594046862","0.587289137","0.585309957","0.579257296","0.575845364","0.578294603","0.562834197","0.538427845","0.554895888","0.568446372","0.595720529","0.549887845","0.569498408","0.570173812","0.556265738","0.570753027","0.554230787","0.548900053","0.616265584","0.574203369","0.528723765","0.564445011","0.628977834","0.551789972","0.556541966","0.551086571","0.555916912","0.55597099","0.521857708","0.553418783","0.582594444"
"lomustine","0.554272602","0.530701617","0.540952344","0.571376406","0.547634376","0.565057892","0.544953041","0.50501162","0.571265381","0.55646058","0.556818675","0.542786709","0.556410203","0.529020432","0.547207053","0.571545863","0.555853952","0.596799879","0.548270137","0.573173707","0.566916457","0.552341118","0.573313821","0.60005136","1","0.565157208","0.613771962","0.560548955","0.54939753","0.544340259","0.538299683","0.556741763","0.578064478","0.556692317","0.565959589","0.558519919","0.557055716","0.571294954","0.567259561","0.565983585","0.555749036","0.543824149","0.555217675","0.554574513","0.615933908","0.542206917","0.560509484","0.548942545","0.546605328","0.563199193","0.552306369","0.553243078","0.571260103","0.549725662","0.542773072","0.561624107","0.571426834","0.564456663","0.545712726","0.540029869","0.546320532","0.556265738","0.526276042","0.54483595","0.571086356"
"methotrexate","0.657887659","0.556732488","0.596326517","0.612439457","0.593846415","0.631598063","0.565881324","0.501681142","0.623933891","0.634582198","0.61326783","0.576612397","0.63454423","0.530309192","0.601904135","0.63678461","0.622171672","0.599681073","0.629299273","0.601512518","0.594397931","0.661825421","0.6167848","0.567951005","0.565157208","1","0.566543058","0.627084895","0.619270649","0.570102227","0.606639593","0.642554484","0.552278914","0.668133213","0.617012143","0.609506827","0.612701009","0.617224572","0.63024487","0.629118531","0.621677794","0.594179688","0.605738778","0.659334541","0.590007815","0.587959381","0.664628226","0.661604249","0.593835122","0.637711114","0.642745202","0.584388624","0.627293283","0.646086704","0.555749036","0.641202375","0.63352059","0.637610047","0.616353218","0.576196661","0.591255042","0.612195138","0.536136083","0.612406705","0.626391531"
"MG-101","0.574233123","0.518251445","0.533788313","0.568097526","0.548272109","0.554884369","0.545701141","0.5","0.576214697","0.55679909","0.560228269","0.546948379","0.556745097","0.535242988","0.545253866","0.588167722","0.563444217","0.572750969","0.5535911","0.572410464","0.615260839","0.558051412","0.564668355","0.838484694","0.613771962","0.566543058","1","0.588351595","0.561873332","0.557828959","0.542738616","0.562746293","0.602582537","0.569555563","0.58691109","0.589182494","0.584977445","0.578321944","0.566441943","0.57230374","0.5533394","0.537716644","0.555888038","0.555905909","0.607028177","0.545959437","0.568120813","0.560078544","0.549713623","0.561231024","0.552824367","0.552438163","0.620928906","0.560013626","0.52656692","0.559293181","0.631716604","0.546901617","0.542905854","0.544804122","0.552320211","0.552044757","0.523879783","0.547238951","0.568185202"
