"","WellId","Metadata_well_1","Plate_number","Drug_name","Treatment","Metadata_dil_factor","Mitoxantrone_uM","PlateNumber","Row","Column","ObjectTotalIntenCh1"
"675008","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,21896990
"675009","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20093750
"675010","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,13427964
"675011","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,24766176
"675012","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,17866998
"675013","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19264626
"675014","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,10046091
"675015","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,13851223
"675016","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,11869376
"675017","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19819507
"675018","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19246928
"675019","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,18214782
"675020","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,30810863
"675021","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,12228574
"675022","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,23374843
"675023","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,9315380
"675024","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,11505547
"675025","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19384152
"675026","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,18233977
"675027","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,21022674
"675028","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19594273
"675029","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,11594438
"675030","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,9915231
"675031","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,9567549
"675032","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,12304309
"675033","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,22066892
"675034","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,17648058
"675035","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,21763675
"675036","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19241133
"675037","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20053740
"675038","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,10271049
"675039","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19842945
"675040","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,17759420
"675041","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,6650020
