"","feature","plate","F_r","P_r","F_c","P_c","Channel","Channel_color","feature_type","P_r_log","P_c_log"
"1","CELL_COUNT","1_C1_1",3.39342806298357,0.0070432194905696,1.73449531828413,0.111721791751871,"CELL_COUNT_C1","panelC1","non-int",-4.955689899347,-2.19174350015451
"2","CELL_COUNT","1_C1_2",1.4274750300201,0.230102115123128,1.42511936705819,0.216151518749766,"CELL_COUNT_C1","panelC1","non-int",-1.46923208979215,-1.53177564152369
"3","CELL_COUNT","1_C1_3",2.12981676297537,0.0622624175049576,1.13528309930784,0.389807900640509,"CELL_COUNT_C1","panelC1","non-int",-2.77639728553912,-0.942101223667416
"4","CELL_COUNT","2_C1_1",1.35383365327353,0.263284780168824,0.743634032518383,0.747121318362749,"CELL_COUNT_C1","panelC1","non-int",-1.33451901829483,-0.291527699589196
"5","CELL_COUNT","2_C1_2",2.13588221664995,0.061571146061729,0.745592958148273,0.745242801247488,"CELL_COUNT_C1","panelC1","non-int",-2.78756192626882,-0.294045205984211
"6","CELL_COUNT","2_C1_3",2.96978928838596,0.0141096212132888,0.704898538905075,0.783657117007931,"CELL_COUNT_C1","panelC1","non-int",-4.26089835874432,-0.243783705052655
"7","ObjectArea_NUC_C1","1_C1_1",27.2111987546544,7.27310603570208e-10,3.29868712090429,0.00492874259734981,"NUC_C1","panelC1","non-int",-21.041667489512,-5.31267137470614
"8","ObjectArea_NUC_C1","1_C1_2",11.6576885091372,1.24627814473817e-06,1.17092526058244,0.363632575389218,"NUC_C1","panelC1","non-int",-13.5953489323842,-1.0116113294124
"9","ObjectArea_NUC_C1","1_C1_3",8.22382037788631,2.01129968753211e-05,1.31137136462944,0.273965837012094,"NUC_C1","panelC1","non-int",-10.8141443411494,-1.29475186280518
"10","ObjectArea_NUC_C1","2_C1_1",15.2446947224316,1.29078064807411e-07,1.00586789675804,0.496224686759165,"NUC_C1","panelC1","non-int",-15.8628484620705,-0.700726457331284
"11","ObjectArea_NUC_C1","2_C1_2",14.6385950766342,1.83010391742412e-07,0.507589035599823,0.934438297702759,"NUC_C1","panelC1","non-int",-15.5137229002396,-0.0678096813367517
"12","ObjectArea_NUC_C1","2_C1_3",2.31856586481997,0.0441023186580104,1.59269359278841,0.151397739959372,"NUC_C1","panelC1","non-int",-3.12124292063233,-1.88784486570334
"13","ObjectShapeP2A_NUC_C1","1_C1_1",67.7995373411539,1.28435272262381e-13,13.5515608802287,1.09320353934028e-07,"NUC_C1","panelC1","non-int",-29.6833513352863,-16.0289832382955
"14","ObjectShapeP2A_NUC_C1","1_C1_2",17.575984413506,3.7343713454465e-08,0.940591188919014,0.555896078251249,"NUC_C1","panelC1","non-int",-17.1031012540062,-0.587173911821391
"15","ObjectShapeP2A_NUC_C1","1_C1_3",23.2156704251227,3.10325525244822e-09,1.0645556023424,0.445832049404735,"NUC_C1","panelC1","non-int",-19.5908141949702,-0.807812968724078
"16","ObjectShapeP2A_NUC_C1","2_C1_1",32.7010941672741,1.32505472377884e-10,0.904480118822636,0.590223164525624,"NUC_C1","panelC1","non-int",-22.74439717039,-0.527254568640279
"17","ObjectShapeP2A_NUC_C1","2_C1_2",30.0408396066386,2.91689143468683e-10,0.676605256982874,0.809402620726088,"NUC_C1","panelC1","non-int",-21.9553324578871,-0.211458808682891
"18","ObjectShapeP2A_NUC_C1","2_C1_3",5.32539818347195,0.000457246341691099,0.554859684731422,0.905644891242677,"NUC_C1","panelC1","non-int",-7.69028827140087,-0.0991080020433024
"19","ObjectShapeLWR_NUC_C1","1_C1_1",16.3997109705244,6.8501022517968e-08,2.82858448041026,0.0118079765075659,"NUC_C1","panelC1","non-int",-16.49641716452,-4.43898000066141
"20","ObjectShapeLWR_NUC_C1","1_C1_2",3.53808498337115,0.00560304467578002,1.12760343130943,0.395630326639425,"NUC_C1","panelC1","non-int",-5.18444513688446,-0.927275022314808
"21","ObjectShapeLWR_NUC_C1","1_C1_3",9.32900825080233,7.54570448625713e-06,1.8364300738909,0.089803009695789,"NUC_C1","panelC1","non-int",-11.79453209883,-2.41013678869231
"22","ObjectShapeLWR_NUC_C1","2_C1_1",7.91165117678836,2.70079821684207e-05,0.52915830999712,0.921986957837512,"NUC_C1","panelC1","non-int",-10.5193780997842,-0.0812242010380519
"23","ObjectShapeLWR_NUC_C1","2_C1_2",7.14451183628619,5.78825420398924e-05,0.813011180147687,0.679542201188128,"NUC_C1","panelC1","non-int",-9.75709473802421,-0.386335941082324
"24","ObjectShapeLWR_NUC_C1","2_C1_3",1.54381009190259,0.185533594285597,1.11346900040982,0.406514474566908,"NUC_C1","panelC1","non-int",-1.68451931206144,-0.900135742837543
"25","ObjectTotalInten_NUC_C1","1_C1_1",122.144110468564,4.13816302325657e-16,1.77429218531662,0.102584531087508,"NUC_C1","panelC1","int",-35.421109512727,-2.27706812673988
"26","ObjectTotalInten_NUC_C1","1_C1_2",16.8705477994622,5.34955249573604e-08,0.824482278342056,0.668262739205429,"NUC_C1","panelC1","int",-16.7436678321998,-0.403073860612562
"27","ObjectTotalInten_NUC_C1","1_C1_3",57.2141927982826,6.59560144431314e-13,21.2127476859612,1.93220770583244e-09,"NUC_C1","panelC1","int",-28.0472032298966,-20.0646025987398
"28","ObjectTotalInten_NUC_C1","2_C1_1",16.466220793694,6.61253205471943e-08,0.761605659839396,0.729801217052607,"NUC_C1","panelC1","int",-16.5317140991851,-0.314983087328937
"29","ObjectTotalInten_NUC_C1","2_C1_2",34.9630446706405,7.09075300236212e-11,1.44680034947773,0.206493592215346,"NUC_C1","panelC1","int",-23.369644481773,-1.57748589749666
"30","ObjectTotalInten_NUC_C1","2_C1_3",5.22376465859541,0.000519818122269662,1.41304541614986,0.221710501351095,"NUC_C1","panelC1","int",-7.56203157243683,-1.50638279608837
"31","ObjectAvgInten_NUC_C1","1_C1_1",47.3632127617155,4.02292335344716e-12,2.62356097813385,0.0176111553066825,"NUC_C1","panelC1","int",-26.2390122752311,-4.03922275347646
"32","ObjectAvgInten_NUC_C1","1_C1_2",25.4981613688314,1.32064938829064e-09,1.53476455004939,0.17133188564429,"NUC_C1","panelC1","int",-20.4451422604949,-1.76415275177772
"33","ObjectAvgInten_NUC_C1","1_C1_3",204.156911179554,2.62126815048596e-18,87.6056866014149,2.47799814843697e-15,"NUC_C1","panelC1","int",-40.48287344632,-33.6313253589046
"34","ObjectAvgInten_NUC_C1","2_C1_1",19.1472379745754,1.75133420073421e-08,0.888496847596795,0.605645125541893,"NUC_C1","panelC1","int",-17.860302846077,-0.501461065860319
"35","ObjectAvgInten_NUC_C1","2_C1_2",29.7319695637156,3.2100748765612e-10,2.18826709373451,0.0426621602634095,"NUC_C1","panelC1","int",-21.8595566670391,-3.15444292813503
"36","ObjectAvgInten_NUC_C1","2_C1_3",8.31253734897882,1.85248583927643e-05,1.18156526079372,0.356089702027402,"NUC_C1","panelC1","int",-10.8963970309266,-1.03257260788263
"37","ObjectVarInten_NUC_C1","1_C1_1",66.0871833888257,1.6445183756185e-13,1.54878031454771,0.166287594341545,"NUC_C1","panelC1","int",-29.4361586483529,-1.79403649363231
"38","ObjectVarInten_NUC_C1","1_C1_2",29.2727850834827,3.70763514711766e-10,1.9729690726524,0.0671212728563268,"NUC_C1","panelC1","int",-21.7154566832168,-2.70125425311255
"39","ObjectVarInten_NUC_C1","1_C1_3",93.6400222992969,5.57587839780613e-15,33.5251189967909,2.67123895336973e-11,"NUC_C1","panelC1","int",-32.8203265298312,-24.3458936306705
"40","ObjectVarInten_NUC_C1","2_C1_1",19.7409369393428,1.33441618263477e-08,0.749358410319543,0.741625058010182,"NUC_C1","panelC1","int",-18.1321868641293,-0.298911476182962
