feature,plate,F_r,P_r,F_c,P_c,Channel,Channel_color,feature_type,P_r_log,P_c_log,marker,plate_rep,marker_sub,log_neg,plate_rep1,cell_struc
ObjectTotalInten_NUC_A,1A3,1.764272098,0.122893264,1.118410176,0.402684874,NUC_A,panelA,int,-2.096439069,-0.909600974,Hoechst_panelA,plate1_rep3,Hoechst,2.096439069,p1.r3,DNA (Hoechst)
ObjectTotalInten_NUC_A,2A1,1.244909234,0.320262235,0.722482622,0.767228906,NUC_A,panelA,int,-1.138615135,-0.264970078,Hoechst_panelA,plate2_rep1,Hoechst,1.138615135,p2.r1,DNA (Hoechst)
ObjectTotalInten_NUC_A,2A2,1.537496719,0.187724705,1.145680418,0.382027939,NUC_A,panelA,int,-1.672778724,-0.962261534,Hoechst_panelA,plate2_rep2,Hoechst,1.672778724,p2.r2,DNA (Hoechst)
ObjectTotalInten_NUC_A,2A3,1.225821847,0.331274283,0.674340396,0.811421465,NUC_A,panelA,int,-1.104808597,-0.208967674,Hoechst_panelA,plate2_rep3,Hoechst,1.104808597,p2.r3,DNA (Hoechst)
ObjectAvgInten_NUC_A,1A1,5.19414966,0.000539769,0.836821891,0.656131678,NUC_A,panelA,int,-7.524369969,-0.421393782,Hoechst_panelA,plate1_rep1,Hoechst,7.524369969,p1.r1,DNA (Hoechst)
ObjectAvgInten_NUC_A,1A2,1.775004735,0.120449372,1.947211877,0.070898015,NUC_A,panelA,int,-2.116525767,-2.646512844,Hoechst_panelA,plate1_rep2,Hoechst,2.116525767,p1.r2,DNA (Hoechst)
ObjectAvgInten_NUC_A,1A3,8.298499025,1.88E-05,1.894831804,0.079268118,NUC_A,panelA,int,-10.88342536,-2.534919275,Hoechst_panelA,plate1_rep3,Hoechst,10.88342536,p1.r3,DNA (Hoechst)
ObjectAvgInten_NUC_A,2A1,1.376670386,0.252553912,0.721126962,0.768505541,NUC_A,panelA,int,-1.376130542,-0.263307506,Hoechst_panelA,plate2_rep1,Hoechst,1.376130542,p2.r1,DNA (Hoechst)
ObjectAvgInten_NUC_A,2A2,1.635230467,0.156451784,0.986986567,0.513124485,NUC_A,panelA,int,-1.855007404,-0.667236803,Hoechst_panelA,plate2_rep2,Hoechst,1.855007404,p2.r2,DNA (Hoechst)
ObjectAvgInten_NUC_A,2A3,1.829867789,0.108700387,0.902411543,0.592212127,NUC_A,panelA,int,-2.219159922,-0.523890386,Hoechst_panelA,plate2_rep3,Hoechst,2.219159922,p2.r3,DNA (Hoechst)
ObjectVarInten_NUC_A,1A1,4.546413408,0.001273141,0.738524768,0.752008783,NUC_A,panelA,int,-6.666267846,-0.285007276,Hoechst_panelA,plate1_rep1,Hoechst,6.666267846,p1.r1,DNA (Hoechst)
ObjectVarInten_NUC_A,1A2,1.265217726,0.308889108,1.395447455,0.230049765,NUC_A,panelA,int,-1.174772941,-1.469459625,Hoechst_panelA,plate1_rep2,Hoechst,1.174772941,p1.r2,DNA (Hoechst)
ObjectVarInten_NUC_A,1A3,3.819047702,0.003636505,1.556243239,0.163660534,NUC_A,panelA,int,-5.616732137,-1.809960909,Hoechst_panelA,plate1_rep3,Hoechst,5.616732137,p1.r3,DNA (Hoechst)
ObjectVarInten_NUC_A,2A1,1.811558633,0.112486823,0.861730216,0.631705422,NUC_A,panelA,int,-2.18491919,-0.459332098,Hoechst_panelA,plate2_rep1,Hoechst,2.18491919,p2.r1,DNA (Hoechst)
ObjectVarInten_NUC_A,2A2,1.716914526,0.134284042,1.351546522,0.252119143,NUC_A,panelA,int,-2.007798004,-1.377853512,Hoechst_panelA,plate2_rep2,Hoechst,2.007798004,p2.r2,DNA (Hoechst)
ObjectVarInten_NUC_A,2A3,1.462767642,0.215611748,0.784499876,0.707510867,NUC_A,panelA,int,-1.53427595,-0.34600229,Hoechst_panelA,plate2_rep3,Hoechst,1.53427595,p2.r3,DNA (Hoechst)
ObjectSize_NUC_A,1A1,6.094582762,0.000181533,4.03401888,0.001409622,NUC_A,panelA,non-int,-8.614072098,-6.564433881,Hoechst_panelA,plate1_rep1,Hoechst,8.614072098,p1.r1,DNA (Hoechst)
ObjectSize_NUC_A,1A2,3.097946746,0.01138991,1.667540893,0.128972462,NUC_A,panelA,non-int,-4.475027373,-2.048156371,Hoechst_panelA,plate1_rep2,Hoechst,4.475027373,p1.r2,DNA (Hoechst)
ObjectSize_NUC_A,1A3,4.570023683,0.001232449,1.114932907,0.405377133,NUC_A,panelA,non-int,-6.698751644,-0.902937453,Hoechst_panelA,plate1_rep3,Hoechst,6.698751644,p1.r3,DNA (Hoechst)
